ID                                       0x1fde
Delivery_person_ID                VADRES03DEL02
Delivery_person_Age                       27.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                       22.32
Restaurant_longitude                      73.17
Delivery_location_latitude                22.40
Delivery_location_longitude               73.25
Order_Date                           25-03-2022
Time_Orderd                               21:55
Time_Order_picked                         22:05
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          17.00
Name: 45260, dtype: object
