ID                                       0xce97
Delivery_person_ID                GOARES09DEL01
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.500000
Restaurant_latitude                   15.303897
Restaurant_longitude                  73.914336
Delivery_location_latitude            15.413897
Delivery_location_longitude           74.024336
Order_Date                           18-02-2022
Time_Orderd                               19:35
Time_Order_picked                         19:50
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      40.000000
Name: 36391, dtype: object
