ID                                       0x7ab6
Delivery_person_ID                VADRES05DEL03
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.310526
Restaurant_longitude                  73.170937
Delivery_location_latitude            22.370526
Delivery_location_longitude           73.230937
Order_Date                           30-03-2022
Time_Orderd                               23:15
Time_Order_picked                         23:20
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 18877, dtype: object
