ID                                      0xbc4e
Delivery_person_ID             COIMBRES20DEL03
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.024136
Delivery_location_longitude          76.993303
Order_Date                          05-04-2022
Time_Orderd                              23:35
Time_Order_picked                        23:50
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     26.000000
Name: 19689, dtype: object
