ID                                    0xd88c
Delivery_person_ID             KOLRES12DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                22.551084
Restaurant_longitude               88.354127
Delivery_location_latitude         22.661084
Delivery_location_longitude        88.464127
Order_Date                        16-02-2022
Time_Orderd                            20:35
Time_Order_picked                      20:40
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 16556, dtype: object
