ID                                     0xd9ff
Delivery_person_ID             AURGRES13DEL01
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 19.880256
Restaurant_longitude                75.323503
Delivery_location_latitude          19.920256
Delivery_location_longitude         75.363503
Order_Date                         11-02-2022
Time_Orderd                             12:10
Time_Order_picked                       12:20
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 41956, dtype: object
