ID                                       0x1fa3
Delivery_person_ID                HYDRES14DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   17.426228
Restaurant_longitude                  78.407495
Delivery_location_latitude            17.486228
Delivery_location_longitude           78.467495
Order_Date                           24-03-2022
Time_Orderd                               18:60
Time_Order_picked                         19:05
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 42578, dtype: object
