ID                                     0xe16d
Delivery_person_ID             LUDHRES05DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 30.905562
Restaurant_longitude                75.832841
Delivery_location_latitude          30.915562
Delivery_location_longitude         75.842841
Order_Date                         13-02-2022
Time_Orderd                             10:55
Time_Order_picked                       11:05
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    15.000000
Name: 38956, dtype: object
