ID                                    0xbfcf
Delivery_person_ID             KNPRES20DEL03
Delivery_person_Age                    29.00
Delivery_person_Ratings                 4.50
Restaurant_latitude                    26.47
Restaurant_longitude                   80.35
Delivery_location_latitude             26.50
Delivery_location_longitude            80.38
Order_Date                        15-02-2022
Time_Orderd                            20:10
Time_Order_picked                      20:20
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       27.00
Name: 17396, dtype: object
