ID                                       0xa40a
Delivery_person_ID                HYDRES15DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   17.459710
Restaurant_longitude                  78.368855
Delivery_location_latitude            17.589710
Delivery_location_longitude           78.498855
Order_Date                           06-03-2022
Time_Orderd                               17:40
Time_Order_picked                         17:45
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 45526, dtype: object
