ID                                       0x1fcc
Delivery_person_ID                SURRES15DEL01
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   21.160522
Restaurant_longitude                  72.771477
Delivery_location_latitude            21.200522
Delivery_location_longitude           72.811477
Order_Date                           15-03-2022
Time_Orderd                               15:45
Time_Order_picked                         15:60
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      25.000000
Name: 31201, dtype: object
