ID                                        0xe03
Delivery_person_ID                HYDRES09DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   17.431668
Restaurant_longitude                  78.408321
Delivery_location_latitude            17.501668
Delivery_location_longitude           78.478321
Order_Date                           06-04-2022
Time_Orderd                               17:20
Time_Order_picked                         17:30
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      32.000000
Name: 22552, dtype: object
