ID                                    0xc0f2
Delivery_person_ID             ALHRES02DEL03
Delivery_person_Age                31.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude               -25.453436
Restaurant_longitude               81.833167
Delivery_location_latitude         25.513436
Delivery_location_longitude        81.893167
Order_Date                        15-02-2022
Time_Orderd                            19:20
Time_Order_picked                      19:35
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   29.000000
Name: 19540, dtype: object
