ID                                    0xcfaf
Delivery_person_ID             AGRRES12DEL01
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                27.165108
Restaurant_longitude               78.015053
Delivery_location_latitude         27.275108
Delivery_location_longitude        78.125053
Order_Date                        14-02-2022
Time_Orderd                            21:30
Time_Order_picked                      21:45
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 27638, dtype: object
