ID                                    0xca8f
Delivery_person_ID             GOARES15DEL03
Delivery_person_Age                 25.00000
Delivery_person_Ratings              4.80000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.60315
Delivery_location_longitude         73.87346
Order_Date                        14-02-2022
Time_Orderd                            22:15
Time_Order_picked                      22:20
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                      NaN
Festival                                  No
City                                     NaN
Time_taken (min)                    19.00000
Name: 35055, dtype: object
