ID                                       0xcd08
Delivery_person_ID                KOLRES03DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.526461
Restaurant_longitude                  88.364453
Delivery_location_latitude            22.616461
Delivery_location_longitude           88.454453
Order_Date                           14-02-2022
Time_Orderd                               18:55
Time_Order_picked                         18:60
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      41.000000
Name: 32193, dtype: object
