ID                                      0xbbdd
Delivery_person_ID             PUNERES010DEL01
Delivery_person_Age                  35.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.549299
Delivery_location_longitude          73.907902
Order_Date                          07-03-2022
Time_Orderd                               8:20
Time_Order_picked                         8:25
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     23.000000
Name: 41540, dtype: object
