ID                                     0xc8f4
Delivery_person_ID             LUDHRES13DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.893234
Restaurant_longitude                75.821720
Delivery_location_latitude          30.963234
Delivery_location_longitude         75.891720
Order_Date                         18-02-2022
Time_Orderd                             22:20
Time_Order_picked                       22:35
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    43.000000
Name: 3001, dtype: object
