ID                                     0xde19
Delivery_person_ID             LUDHRES19DEL02
Delivery_person_Age                 21.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.902872
Restaurant_longitude                75.826808
Delivery_location_latitude          30.922872
Delivery_location_longitude         75.846808
Order_Date                         13-02-2022
Time_Orderd                             10:55
Time_Order_picked                       10:60
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    17.000000
Name: 21059, dtype: object
