ID                                      0xb0aa
Delivery_person_ID             COIMBRES11DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.131753
Delivery_location_longitude          77.116241
Order_Date                          31-03-2022
Time_Orderd                              17:10
Time_Order_picked                        17:15
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     23.000000
Name: 12363, dtype: object
