ID                                    0x8aaf
Delivery_person_ID             VADRES08DEL01
Delivery_person_Age                    24.00
Delivery_person_Ratings                 5.00
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.11
Delivery_location_longitude             0.11
Order_Date                        02-03-2022
Time_Orderd                            20:15
Time_Order_picked                      20:20
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                                     NaN
Time_taken (min)                       22.00
Name: 42864, dtype: object
