ID                                    0x14ca
Delivery_person_ID             JAPRES03DEL03
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                26.913483
Restaurant_longitude               75.803139
Delivery_location_latitude         26.943483
Delivery_location_longitude        75.833139
Order_Date                        07-03-2022
Time_Orderd                            23:50
Time_Order_picked                      23:60
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 9687, dtype: object
