ID                                    0xcb73
Delivery_person_ID             BHPRES01DEL01
Delivery_person_Age                39.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                23.211529
Restaurant_longitude               77.419399
Delivery_location_latitude         23.221529
Delivery_location_longitude        77.429399
Order_Date                        17-02-2022
Time_Orderd                             8:10
Time_Order_picked                       8:15
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   15.000000
Name: 8509, dtype: object
