ID                                    0x6a0b
Delivery_person_ID             SURRES01DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                21.186438
Restaurant_longitude               72.794115
Delivery_location_latitude         21.226438
Delivery_location_longitude        72.834115
Order_Date                        21-03-2022
Time_Orderd                            15:20
Time_Order_picked                      15:35
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 40297, dtype: object
