ID                                        0xad0c
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    22.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.414422
Delivery_location_longitude            85.392900
Order_Date                            15-03-2022
Time_Orderd                                22:60
Time_Order_picked                          23:10
Weather conditions                        Cloudy
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       22.000000
Name: 31091, dtype: object
