ID                                       0x98d1
Delivery_person_ID                MUMRES15DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   19.176269
Restaurant_longitude                  72.836721
Delivery_location_latitude            19.266269
Delivery_location_longitude           72.926721
Order_Date                           08-03-2022
Time_Orderd                               23:25
Time_Order_picked                         23:40
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 30437, dtype: object
