ID                                     0x40eb
Delivery_person_ID             BANGRES06DEL03
Delivery_person_Age                 28.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 12.979096
Restaurant_longitude                77.640625
Delivery_location_latitude          13.009096
Delivery_location_longitude         77.670625
Order_Date                         26-03-2022
Time_Orderd                             17:25
Time_Order_picked                       17:30
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    18.000000
Name: 31977, dtype: object
