ID                                      0x9dfb
Delivery_person_ID             COIMBRES13DEL01
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.073669
Delivery_location_longitude          77.046494
Order_Date                          06-03-2022
Time_Orderd                              21:55
Time_Order_picked                        22:10
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     20.000000
Name: 43301, dtype: object
