ID                                    0x970c
Delivery_person_ID             MUMRES17DEL03
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                19.121999
Restaurant_longitude               72.908493
Delivery_location_latitude         19.151999
Delivery_location_longitude        72.938493
Order_Date                        09-03-2022
Time_Orderd                            20:60
Time_Order_picked                      21:10
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   19.000000
Name: 18352, dtype: object
