ID                                     0x935f
Delivery_person_ID             CHENRES11DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 13.064181
Restaurant_longitude                80.236442
Delivery_location_latitude          13.174181
Delivery_location_longitude         80.346442
Order_Date                         29-03-2022
Time_Orderd                             23:50
Time_Order_picked                       24:05
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 42348, dtype: object
