ID                                       0x886c
Delivery_person_ID               PUNERES05DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   18.543626
Restaurant_longitude                  73.905101
Delivery_location_latitude            18.583626
Delivery_location_longitude           73.945101
Order_Date                           01-03-2022
Time_Orderd                               13:15
Time_Order_picked                         13:25
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      28.000000
Name: 25243, dtype: object
