ID                                     0x2dd5
Delivery_person_ID             INDORES18DEL01
Delivery_person_Age                 25.000000
Delivery_person_Ratings              3.400000
Restaurant_latitude                 22.753839
Restaurant_longitude                75.897429
Delivery_location_latitude          22.863838
Delivery_location_longitude         76.007429
Order_Date                         06-03-2022
Time_Orderd                             22:30
Time_Order_picked                       22:45
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    44.000000
Name: 2099, dtype: object
