ID                                      0x9e9f
Delivery_person_ID             COIMBRES01DEL02
Delivery_person_Age                  27.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.096298
Delivery_location_longitude          77.052076
Order_Date                          16-03-2022
Time_Orderd                              21:25
Time_Order_picked                        21:35
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     16.000000
Name: 5787, dtype: object
