ID                                     0x21aa
Delivery_person_ID             BANGRES14DEL03
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 12.949934
Restaurant_longitude                77.699386
Delivery_location_latitude          13.009934
Delivery_location_longitude         77.759386
Order_Date                         11-03-2022
Time_Orderd                             19:15
Time_Order_picked                       19:20
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    25.000000
Name: 9463, dtype: object
