ID                                     0xbcd4
Delivery_person_ID             BANGRES08DEL01
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 12.906229
Restaurant_longitude                77.596791
Delivery_location_latitude          12.976229
Delivery_location_longitude         77.666791
Order_Date                         25-03-2022
Time_Orderd                             19:45
Time_Order_picked                       19:55
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                  Yes
City                               Semi-Urban
Time_taken (min)                    47.000000
Name: 36966, dtype: object
