ID                                    0x4bb0
Delivery_person_ID             VADRES03DEL03
Delivery_person_Age                    25.00
Delivery_person_Ratings                 4.10
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.35
Delivery_location_longitude            73.20
Order_Date                        01-03-2022
Time_Orderd                            20:15
Time_Order_picked                      20:20
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                                   Urban
Time_taken (min)                       31.00
Name: 5358, dtype: object
