ID                                    0x6ef8
Delivery_person_ID             SURRES13DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                21.170096
Restaurant_longitude               72.789122
Delivery_location_latitude         21.210096
Delivery_location_longitude        72.829122
Order_Date                        03-03-2022
Time_Orderd                            12:40
Time_Order_picked                      12:45
Weather conditions                    Stormy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 30412, dtype: object
