ID                                       0x74e6
Delivery_person_ID             RANCHIRES14DEL02
Delivery_person_Age                       20.00
Delivery_person_Ratings                    4.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           28-03-2022
Time_Orderd                               10:20
Time_Order_picked                         10:25
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          15.00
Name: 38530, dtype: object
