ID                                     0x35ae
Delivery_person_ID             BANGRES20DEL03
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 12.972161
Restaurant_longitude                77.596014
Delivery_location_latitude          13.062161
Delivery_location_longitude         77.686014
Order_Date                         16-03-2022
Time_Orderd                             17:20
Time_Order_picked                       17:30
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 39978, dtype: object
