ID                                     0xac7e
Delivery_person_ID             PUNERES09DEL03
Delivery_person_Age                 20.000000
Delivery_person_Ratings              3.600000
Restaurant_latitude                 18.536562
Restaurant_longitude                73.896485
Delivery_location_latitude          18.596562
Delivery_location_longitude         73.956485
Order_Date                         19-03-2022
Time_Orderd                             20:15
Time_Order_picked                       20:30
Weather conditions                      Sunny
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 37056, dtype: object
