ID                                       0x2c8a
Delivery_person_ID                MYSRES02DEL01
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.304569
Restaurant_longitude                  76.643622
Delivery_location_latitude            12.374569
Delivery_location_longitude           76.713622
Order_Date                           23-03-2022
Time_Orderd                               23:50
Time_Order_picked                         23:60
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      11.000000
Name: 31032, dtype: object
