ID                                     0xe01d
Delivery_person_ID             LUDHRES11DEL01
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.933081
Delivery_location_longitude         75.861495
Order_Date                         17-02-2022
Time_Orderd                             14:60
Time_Order_picked                       15:15
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 11357, dtype: object
