ID                                       0xb61a
Delivery_person_ID               CHENRES03DEL01
Delivery_person_Age                   23.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   13.091809
Restaurant_longitude                  80.219104
Delivery_location_latitude            13.131809
Delivery_location_longitude           80.259104
Order_Date                           01-03-2022
Time_Orderd                               15:35
Time_Order_picked                         15:50
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      18.000000
Name: 29865, dtype: object
