ID                                     0xd22e
Delivery_person_ID             AURGRES15DEL01
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.000000
Restaurant_latitude                 19.878028
Restaurant_longitude                75.317475
Delivery_location_latitude          19.988028
Delivery_location_longitude         75.427475
Order_Date                         16-02-2022
Time_Orderd                             19:15
Time_Order_picked                       19:20
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    37.000000
Name: 14959, dtype: object
