ID                                    0xcfde
Delivery_person_ID             ALHRES16DEL02
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                25.450377
Restaurant_longitude               81.834236
Delivery_location_latitude         25.470377
Delivery_location_longitude        81.854236
Order_Date                        15-02-2022
Time_Orderd                             9:60
Time_Order_picked                      10:10
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   18.000000
Name: 11218, dtype: object
