ID                                        0x44b
Delivery_person_ID               BANGRES18DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   12.913041
Restaurant_longitude                  77.683237
Delivery_location_latitude            13.043041
Delivery_location_longitude           77.813237
Order_Date                           31-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:10
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      28.000000
Name: 14452, dtype: object
