ID                                    0x5af8
Delivery_person_ID             MYSRES09DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.000000
Restaurant_latitude                12.323194
Restaurant_longitude               76.630583
Delivery_location_latitude         12.363194
Delivery_location_longitude        76.670583
Order_Date                        21-03-2022
Time_Orderd                            13:60
Time_Order_picked                      14:05
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 15660, dtype: object
