ID                                     0xbf0c
Delivery_person_ID             AURGRES02DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                     -0.00
Restaurant_longitude                    -0.00
Delivery_location_latitude               0.08
Delivery_location_longitude              0.08
Order_Date                         18-02-2022
Time_Orderd                               NaN
Time_Order_picked                       23:40
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      0.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        11.00
Name: 43305, dtype: object
