ID                                      0x65dc
Delivery_person_ID             COIMBRES12DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.130762
Delivery_location_longitude          77.111876
Order_Date                          02-04-2022
Time_Orderd                              18:20
Time_Order_picked                        18:25
Weather conditions                         Fog
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     30.000000
Name: 13468, dtype: object
