ID                                       0x7b9d
Delivery_person_ID                MUMRES20DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   19.103249
Restaurant_longitude                  72.846749
Delivery_location_latitude            19.193249
Delivery_location_longitude           72.936749
Order_Date                           20-03-2022
Time_Orderd                               21:30
Time_Order_picked                         21:35
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      31.000000
Name: 9289, dtype: object
