ID                                      0x5fc
Delivery_person_ID             INDORES11DEL03
Delivery_person_Age                 50.000000
Delivery_person_Ratings              6.000000
Restaurant_latitude                 22.751234
Restaurant_longitude                75.889490
Delivery_location_latitude          22.781234
Delivery_location_longitude         75.919490
Order_Date                         17-03-2022
Time_Orderd                               NaN
Time_Order_picked                       20:40
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 683, dtype: object
