ID                                       0xc699
Delivery_person_ID                KOLRES18DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   22.569367
Restaurant_longitude                  88.433187
Delivery_location_latitude            22.639367
Delivery_location_longitude           88.503187
Order_Date                           16-02-2022
Time_Orderd                               19:25
Time_Order_picked                         19:40
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      27.000000
Name: 42699, dtype: object
