ID                                       0xcae2
Delivery_person_ID                BHPRES05DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.400000
Restaurant_latitude                   23.214459
Restaurant_longitude                  77.434976
Delivery_location_latitude            23.324459
Delivery_location_longitude           77.544976
Order_Date                           14-02-2022
Time_Orderd                               19:50
Time_Order_picked                         20:05
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      45.000000
Name: 19580, dtype: object
