ID                                       0x626c
Delivery_person_ID               INDORES08DEL02
Delivery_person_Age                   27.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.725748
Restaurant_longitude                  75.898497
Delivery_location_latitude            22.855747
Delivery_location_longitude           76.028497
Order_Date                           04-03-2022
Time_Orderd                               23:55
Time_Order_picked                         23:60
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 17289, dtype: object
