ID                                        0xe70
Delivery_person_ID               PUNERES01DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   18.569156
Restaurant_longitude                  73.774723
Delivery_location_latitude            18.589156
Delivery_location_longitude           73.794723
Order_Date                           09-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         11:30
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 32780, dtype: object
