ID                                        0x4c46
Delivery_person_ID             RANCHIRES010DEL02
Delivery_person_Age                    36.000000
Delivery_person_Ratings                 4.900000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.404422
Delivery_location_longitude            85.382900
Order_Date                            07-03-2022
Time_Orderd                                23:25
Time_Order_picked                          23:30
Weather conditions                         Sunny
Road_traffic_density                         Low
Vehicle_condition                              2
Type_of_order                             Buffet
Type_of_vehicle                 electric_scooter
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       18.000000
Name: 33618, dtype: object
