ID                                       0xdcfd
Delivery_person_ID                AGRRES15DEL02
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.08
Delivery_location_longitude                0.08
Order_Date                           18-02-2022
Time_Orderd                               20:25
Time_Order_picked                         20:40
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                                        NaN
Time_taken (min)                          28.00
Name: 39341, dtype: object
