ID                                      0xafca
Delivery_person_ID             COIMBRES17DEL03
Delivery_person_Age                  29.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.056117
Delivery_location_longitude          76.974652
Order_Date                          24-03-2022
Time_Orderd                              19:20
Time_Order_picked                        19:35
Weather conditions                       Sunny
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     17.000000
Name: 42628, dtype: object
