ID                                        0x5e0
Delivery_person_ID                MUMRES07DEL03
Delivery_person_Age                   50.000000
Delivery_person_Ratings                6.000000
Restaurant_latitude                  -19.091458
Restaurant_longitude                  72.827808
Delivery_location_latitude            19.121458
Delivery_location_longitude           72.857808
Order_Date                           11-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         21:50
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      26.000000
Name: 44782, dtype: object
