ID                                        0x4ce
Delivery_person_ID               BANGRES20DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -12.972161
Restaurant_longitude                 -77.596014
Delivery_location_latitude            13.082161
Delivery_location_longitude           77.706014
Order_Date                           12-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:30
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      19.000000
Name: 19021, dtype: object
