ID                                       0xc72b
Delivery_person_ID                BHPRES14DEL01
Delivery_person_Age                       34.00
Delivery_person_Ratings                    5.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           11-02-2022
Time_Orderd                               13:25
Time_Order_picked                         13:40
Weather conditions                        Sunny
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          17.00
Name: 17594, dtype: object
