ID                                    0xd8fc
Delivery_person_ID             KOCRES04DEL02
Delivery_person_Age                26.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                 9.966783
Restaurant_longitude               76.242981
Delivery_location_latitude         10.046783
Delivery_location_longitude        76.322981
Order_Date                        18-02-2022
Time_Orderd                            17:60
Time_Order_picked                      18:10
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   19.000000
Name: 21100, dtype: object
