ID                                        0xb3cd
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    30.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.424422
Delivery_location_longitude            85.402900
Order_Date                            27-03-2022
Time_Orderd                                22:45
Time_Order_picked                          22:50
Weather conditions                        Stormy
Road_traffic_density                         Low
Vehicle_condition                              2
Type_of_order                             Buffet
Type_of_vehicle                          scooter
multiple_deliveries                     0.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       25.000000
Name: 14120, dtype: object
