ID                                     0xcbc9
Delivery_person_ID             AURGRES09DEL01
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 19.874103
Restaurant_longitude                75.368419
Delivery_location_latitude          19.884103
Delivery_location_longitude         75.378419
Order_Date                         13-02-2022
Time_Orderd                             10:30
Time_Order_picked                       10:45
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    11.000000
Name: 27814, dtype: object
